method,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
total,77.12604267624334,77.12839064710892,72.79863178784188,74.69213712389666,73.31552994446207,72.4134821214736,75.57848180531366,74.74066857133118,76.3674832569006,72.6415742405848,76.34823183159006,71.3134000693675,74.77976601929224,73.33198136904196,74.71432166894112,70.81430794226331,73.23628175119659,72.52980656388107,78.12587996104673,71.92206162734443
epistemic,72.83883470065577,73.69044668202962,68.85083314811718,69.82594908794333,68.30393433152699,68.21355543570029,70.79421904786807,69.54670105536844,72.4392194258527,68.14257807307153,71.74249014328018,67.98581807674574,69.82323881628389,70.61615001460251,69.70519867579563,65.59093204365338,68.86973149194067,68.44753221865271,73.71108850757798,67.82448880107347
aleatoric,77.13844837580976,77.1169017701202,72.81082025242073,74.69051215467542,73.33266321393924,72.39376919962235,75.58400791013175,74.7458895103554,76.35659879923091,72.64252103742838,76.34914301430985,71.31286569874592,74.78189372070277,73.32269712723453,74.70475161455566,70.84460753026157,73.24843687893808,72.54215159346907,78.138703073699,71.90558343926972
var,78.36499443737664,78.29999009356523,73.84522441797387,75.63699683724124,74.70843266556648,73.46596916325288,76.87376751912177,76.08352254289582,77.41128221045979,73.58383308143058,77.04197689603426,72.58975580566869,76.16001689248426,74.43524568320686,75.88524744750882,72.26596432409649,74.43695994199818,73.76229543635303,79.22701345434976,73.62229672311791
kl,77.12604267624334,77.12839064710892,72.79863178784188,74.69213712389666,73.31552994446207,72.4134821214736,75.57848180531366,74.74066857133118,76.3674832569006,72.6415742405848,76.34823183159006,71.3134000693675,74.77976601929224,73.33198136904196,74.71432166894112,70.81430794226331,73.23628175119659,72.52980656388107,78.12587996104673,71.92206162734443
sigmoid-mapping,77.06622663819337,77.15381908406015,72.81530719941017,74.70818812574478,73.18040523281587,72.32973842365485,75.62804624576043,74.68481022179859,76.40599144544515,72.53525133965624,76.25123270415216,71.25724002332787,74.6472490045542,73.20450451394458,74.54629324573236,70.88649674692375,73.16296166995693,72.58364640512497,78.11654186681486,71.91370480554319
soft_weighted-local-1-imp,67.1011846691391,66.15068881780289,63.59480623381126,66.64717961254779,64.93192105983447,58.89603526060587,66.34624838388581,63.44375488385794,67.36622537076329,62.65133252962364,63.10670540161849,61.57036632266522,66.0304757101615,61.25420825406624,63.59836621293757,60.5077103909773,62.36870089115749,61.832630624343935,68.17617563986036,61.81868000792339
soft_weighted-local-1-nmf,75.55841445308809,77.06230825059546,72.4315059229692,75.06416540815565,73.10912352324344,72.44310183667706,76.44039089482763,73.79340105318504,77.3585509979103,73.14953691850286,77.65086053379437,74.21439912973457,74.09223996188126,72.05618999308835,73.44280075071619,70.52606257830104,72.98228046021332,72.17160762703429,76.7040318484282,72.53528709173881
soft_weighted-local-2-imp,68.72922534430903,67.99887473526377,65.40284235678045,67.71249661973685,66.2601689913775,60.70944139240086,67.02145931205825,64.9066828984212,68.82241760304281,62.56677940107671,64.09128001234926,60.528282753054754,66.83530474054402,63.613485770653625,66.03964643840177,61.02128036470874,65.33328798599767,61.15359270257521,69.1124855898254,63.49333067686545
soft_weighted-local-2-nmf,75.94896700251589,77.28395810218059,73.3895416886605,73.51062792371651,71.780067587332,71.54697300401423,76.62206915997464,73.38187269555519,77.46898647066668,73.65074152466025,77.91020729374756,73.86139935412879,74.22304203342686,72.09429799338133,72.953775282125,70.35945145399512,72.38375418974223,71.6436454755046,76.66316708408743,72.38768620486213
soft_weighted-local-3-imp,68.79455199762853,69.2255112618802,66.29982031467156,67.60614551032472,66.39844547118582,62.199979827056744,66.65867982143455,65.89156890181033,70.50418666925567,64.01022367596451,64.24871000289036,61.82438835733001,67.93931488651243,64.77165738664014,66.57683943884996,61.441676308289026,64.80532109107483,62.28014847072157,69.09959897663722,65.50417469623847
soft_weighted-local-3-nmf,74.64633164004897,77.19421885444359,73.14650702533942,73.46769180893168,70.80936823444688,70.44413162847773,74.84534092097753,73.11254748219747,77.07942355185956,71.75856313584909,76.18827409928186,72.84978484339867,74.44615400146066,71.27104850488237,72.05510754750914,69.49809184094994,71.82896427007907,70.4594495443661,75.95394981015616,71.97965348159454
soft_weighted-local-5-imp,70.23533185814247,68.94020116997274,66.7523907990469,66.62481366799626,66.09638820987774,63.190736689157816,67.52326382663986,65.49602506405967,70.48809935580326,64.80439209622624,65.3093453094694,63.131782404764984,68.2626685369664,63.126419742227164,66.14293803523047,62.2159255725369,64.03375263784406,63.173680211196306,69.35170513601916,65.72047429115074
soft_weighted-local-5-nmf,74.34994322836162,75.93625563321334,71.88187177765226,72.75627715222527,68.50703298089196,69.08005470595863,72.11545057821859,71.55132676029899,76.04925351844354,70.59337686088108,73.62312762270221,70.64666406465672,73.17157875336255,71.4677177829311,71.00989267802954,69.4973733522596,69.56784191887223,68.44017834616899,75.30199510383954,70.04524661082336
hard_weighted-local-1-imp,70.82884566930927,69.99467359821477,66.82965432017387,69.97400524281092,68.07890910746659,63.89043671644411,70.64811586876358,67.53116272730806,70.84802149302072,65.72436741059869,68.21451449668238,64.32553928501488,69.78187778661876,65.1502198491307,68.27768682646793,64.45929948747352,65.9380020806577,65.03112982650545,70.97309081597334,65.75453377957771
hard_weighted-local-1-nmf,78.82760570150876,78.8921846636691,75.07220061248552,77.38909498616566,75.7087202639731,74.67106555235831,77.84270970171677,75.22956265887615,78.24269077461989,75.28883135676354,78.69899389114263,74.90582789873919,76.49808340377521,75.92014290981218,75.9715530595605,73.29800112613346,75.97241931303446,74.43353659968696,78.8434221615903,74.46707000735051
hard_weighted-local-2-imp,72.38741780356112,70.64816822934408,68.22514175495775,69.78342941501678,67.89170987142492,64.916849793415,70.420406727465,68.00283321605872,70.85745059403209,65.0943198072412,68.19050968114699,62.63070119094862,70.31949552505725,65.49629996274658,69.34172979165108,64.74357817477538,67.8246158011689,65.188402976262,71.03846256461709,65.98366028644064
hard_weighted-local-2-nmf,78.55870734832976,78.57406390590054,75.36159757088751,77.28236744648348,75.17434585833314,75.71709424794003,77.90880737130713,76.09999009432435,77.9855932819537,75.5723876192707,78.96747485304239,74.59297580183086,76.36317155987626,75.54887075642054,75.50479438868791,73.30976362909917,75.86691218495449,74.77271633678222,78.72393149608246,74.05520387475264
hard_weighted-local-3-imp,72.37739203252525,71.33720820382305,68.74944978920115,69.75856237753852,68.02260322915174,65.72016063068321,69.17469048138969,68.50073231764826,71.88477425780667,66.12142912722679,67.40520601591244,63.21529339841576,70.79988641470771,66.34951337058054,69.28732445530144,65.107763600661,66.65969000307031,65.85274469483697,70.866787623301,66.87799728460291
